Accuracy_train_h24_w256_ov64_300s,Loss_train_h24_w256_ov64_300s,Accuracy_train_h36_w256_ov64_300s,Loss_train_h36_w256_ov64_300s,Accuracy_train_h48_w256_ov64_300s,Loss_train_h48_w256_ov64_300s,Accuracy_train_h36-48_w256_ov64_300s,Loss_train_h36-48_w256_ov64_300s,Accuracy_train_h12-24_w128_ov64_40s,Loss_train_h12-24_w128_ov64_40s,Accuracy_train_h24-36_w128_ov64_40s,Loss_train_h24-36_w128_ov64_40s,Accuracy_train_h36-48_w128_ov64_40s,Loss_train_h36-48_w128_ov64_40s,Accuracy_train_h24-36-48_w128_ov64_40s,Loss_train_h24-36-48_w128_ov64_40s,Accuracy_train_h12-24-36-48_w128_ov64_40s,Loss_train_h12-24-36-48_w128_ov64_40s
0.572685191,0.655454199,0.619444478,0.677542798,0.514207622,0.692845249,0.648792285,0.645216239,0.494761912,0.679808654,0.517829456,0.683599486,0.597932805,0.670278583,0.509045219,0.69788002,0.476149425,0.696911728
0.573476708,0.655709282,0.623118312,0.675469445,0.514278132,0.692636586,0.651238911,0.642947111,0.495161297,0.680680194,0.516379093,0.684966099,0.601150275,0.661051755,0.508348186,0.696750747,0.475806452,0.695861247
0.575086811,0.650745098,0.623958366,0.678890161,0.514984603,0.691306124,0.651721029,0.638558238,0.493526792,0.679998601,0.515746122,0.683807945,0.60465115,0.663043541,0.507223612,0.694868203,0.473868534,0.69708948
0.577020207,0.652339591,0.625252558,0.681078703,0.516269222,0.689877806,0.648221357,0.637907936,0.494805201,0.681224897,0.514446791,0.683740329,0.605120965,0.667464689,0.508146788,0.696839647,0.474921629,0.696911051
0.578839874,0.652967284,0.62647062,0.674588885,0.517478276,0.690033005,0.649190124,0.636921351,0.493067232,0.681873437,0.516187868,0.683582364,0.604423152,0.66713136,0.5063553,0.697179964,0.474898579,0.698051149
0.579365084,0.650692227,0.627142889,0.673774069,0.517213088,0.690589179,0.651345769,0.647760794,0.491836739,0.680867597,0.51760797,0.683945843,0.607751926,0.671355161,0.506245508,0.694127532,0.473891625,0.697634484
0.579089512,0.64701296,0.628703737,0.672234592,0.51719032,0.69077024,0.652979079,0.642064326,0.493253974,0.682404472,0.516149867,0.684233288,0.611541762,0.679872083,0.50460636,0.693426867,0.473898467,0.694915498
0.579579585,0.646184564,0.627927961,0.671698704,0.517501081,0.691221189,0.652173927,0.64218179,0.491505797,0.681312516,0.514561069,0.684915894,0.612193577,0.67701022,0.503463257,0.692328002,0.474603914,0.695034957
0.581505853,0.643947233,0.630263191,0.674581794,0.517579784,0.689812522,0.651411151,0.642922764,0.490037599,0.682252992,0.513667887,0.684800272,0.613423082,0.675684475,0.503305998,0.692592197,0.475045372,0.692868098
0.581908837,0.644374248,0.630769263,0.672827129,0.517549364,0.690373474,0.652917145,0.646140002,0.487912092,0.681476407,0.515006953,0.686039539,0.614788302,0.668431381,0.502641407,0.692589928,0.475685234,0.6895724
0.582638893,0.648329896,0.632083367,0.673770794,0.517418007,0.690232001,0.653985521,0.647350712,0.486607147,0.680876605,0.515116275,0.685572962,0.615310068,0.662974546,0.501381904,0.691151448,0.475862069,0.688757513
0.582994584,0.646323599,0.634146375,0.673324014,0.517892816,0.689339239,0.653234373,0.642202423,0.485888506,0.679850033,0.51351862,0.683651055,0.615995453,0.656853124,0.500306404,0.692854717,0.476240538,0.687660794
0.583664025,0.64659285,0.635317494,0.674525531,0.518345016,0.690131176,0.655279517,0.638849519,0.485034017,0.679444645,0.514027313,0.682716354,0.617017341,0.66436053,0.50011964,0.692521785,0.47639573,0.68639148
0.582687343,0.644263882,0.636434143,0.673157702,0.518680873,0.690862973,0.655207294,0.632541863,0.484883725,0.679281566,0.514692624,0.681292467,0.617270588,0.665132214,0.498656065,0.691523395,0.476944667,0.686318619
0.583964651,0.647951879,0.637878823,0.66946188,0.518349452,0.692344915,0.655467735,0.629678211,0.484090913,0.678715039,0.515151513,0.680899509,0.617864685,0.659648427,0.497601638,0.689182038,0.476684953,0.685677054
0.584259263,0.64417036,0.639629665,0.667791307,0.518670283,0.69311937,0.654428356,0.629376272,0.483650798,0.676242375,0.51472868,0.680620167,0.619465969,0.653531977,0.496370737,0.691872213,0.476819923,0.686219807
0.585144931,0.642904955,0.641666701,0.667152466,0.519155354,0.691724392,0.655009467,0.633841837,0.484006215,0.674697961,0.513481629,0.680146439,0.620829111,0.654933599,0.496504255,0.68881916,0.477511244,0.687212787
0.585697403,0.639965928,0.643262446,0.665970455,0.519532585,0.691683773,0.655565849,0.628884016,0.48358663,0.672484253,0.513112319,0.680049535,0.622134247,0.656295911,0.496525173,0.687937451,0.478173147,0.686210802
0.585648151,0.637616968,0.644444479,0.665398452,0.519552568,0.692910219,0.656702913,0.624012182,0.484226195,0.673170711,0.513081394,0.679469013,0.624515494,0.654887425,0.495603009,0.685568741,0.478448275,0.686211548
0.585034017,0.641587358,0.643877585,0.667686653,0.520157215,0.69383195,0.658385108,0.618766706,0.483673474,0.673339053,0.512260716,0.679197275,0.620471435,0.665104017,0.495538913,0.686073666,0.477832512,0.685872397
