Accuraccy_train_h24-28-32_w200_ov64_120-500s,Loss_train_h24-28-32_w200_ov64_120-500s,Accuraccy_train_h24-30-36_w200_ov64_120s-500s,Loss_train_h24-30-36_w200_ov64_120s-500s,Accuraccy_train_h28-30-32_w200_ov64_120-500s,Loss_train_h28-30-32_w200_ov64_120-500s,Accuraccy_train_h28-32-36_w200_ov64_120s-500s,Loss_train_h28-32-36_w200_ov64_120s-500s,Accuraccy_train_h32-34-36_w200_ov64_120-500s,Loss_train_h32-34-36_w200_ov64_120-500s,Accuraccy_train_h38-40-42_w200_ov64_120s-500s,Loss_train_h38-40-42_w200_ov64_120s-500s,Accuraccy_train_h42-44-46_w200_ov64_120s-500s,Loss_train_h42-44-46_w200_ov64_120s-500s,Accuraccy_train_h24-28-32-36_w200_ov64_120-500s,Loss_train_h24-28-32-36_w200_ov64_120-500s,Accuraccy_train_h30-32-34-36_w200_ov64_120s-500s,Loss_train_h30-32-34-36_w200_ov64_120s-500s
0.631088172,0.630737564,0.629251686,0.632526017,0.667495838,0.693132305,0.671115919,0.579913505,0.613424257,0.633626572,0.561043537,0.679622568,0.573544989,0.692100834,0.674603164,0.58422694,0.625992086,0.67380633
0.63285878,0.627982713,0.631110568,0.626083575,0.666782351,0.68458851,0.670894994,0.577046546,0.613415909,0.629138484,0.561479436,0.676349741,0.574547819,0.691738222,0.674590859,0.588956091,0.621035963,0.67546685
0.633857583,0.626036958,0.631145625,0.625261521,0.666440509,0.683234213,0.671143249,0.576576144,0.614435808,0.630180133,0.56237908,0.673689157,0.576010116,0.689821616,0.671885511,0.584893465,0.616821647,0.675312825
0.635234469,0.628058855,0.631859395,0.625923766,0.666998325,0.679611864,0.67138047,0.574324629,0.615857055,0.629666919,0.563120538,0.672150373,0.575925941,0.688707683,0.672921799,0.582710554,0.617171739,0.674978608
0.635890225,0.625866296,0.632985788,0.627849616,0.668288973,0.679851476,0.671058409,0.573990283,0.617653477,0.633764419,0.562673422,0.667049689,0.577657019,0.688063686,0.673913032,0.584676188,0.61783599,0.67508185
0.637084374,0.626253169,0.633738586,0.626258927,0.669101285,0.678814032,0.671609712,0.573626711,0.617983528,0.638424911,0.562132158,0.665535775,0.578841622,0.686196883,0.67218281,0.583188842,0.619761466,0.675130388
0.638545623,0.624900958,0.634778896,0.624816147,0.669776103,0.675055066,0.671506733,0.575840171,0.619556107,0.636957301,0.563275681,0.668016424,0.57604168,0.68457498,0.669753075,0.581934969,0.621448886,0.674587017
0.639326449,0.62275797,0.634214895,0.632609455,0.670118777,0.675942067,0.671304884,0.577783777,0.620756838,0.640314754,0.563069881,0.666179394,0.577324277,0.684583248,0.66999243,0.578754193,0.623299343,0.675387802
0.640456269,0.621928812,0.63438774,0.635042654,0.671641774,0.673616099,0.671111109,0.579582458,0.62150753,0.63907877,0.563829759,0.663186185,0.578444458,0.682152363,0.670222211,0.578307663,0.624090932,0.671880029
0.641765447,0.625285517,0.634953966,0.639554759,0.673105046,0.676382459,0.671420081,0.577258975,0.623017039,0.640945904,0.562473897,0.663924267,0.57995644,0.681428781,0.671023953,0.579241781,0.625445655,0.67149459
0.642951151,0.621132049,0.635988995,0.633765574,0.673363932,0.672228223,0.671134419,0.576492629,0.623888667,0.63850834,0.56239768,0.664516178,0.580341893,0.680644344,0.667948706,0.580957262,0.626456899,0.669885443
0.6433747,0.620711052,0.635829788,0.632973814,0.67398853,0.665952798,0.672003048,0.574714984,0.625106659,0.63590132,0.563729397,0.66578207,0.580503157,0.680085476,0.669042615,0.581824859,0.627501451,0.66971379
0.643289674,0.618053445,0.636810264,0.63037399,0.67339228,0.659618161,0.672558921,0.575497162,0.626372597,0.631854675,0.564716283,0.662881484,0.581069971,0.67800529,0.666255132,0.579392119,0.629068484,0.669349168
0.643968195,0.615023645,0.637105736,0.630550148,0.674536392,0.657230443,0.671900825,0.570865635,0.626313379,0.629590344,0.565860707,0.66240928,0.582323245,0.680494616,0.663569011,0.579719818,0.630165311,0.668412786
0.644554586,0.615001115,0.638666166,0.628937414,0.675017752,0.661291838,0.671807358,0.570217896,0.625897337,0.629478732,0.567154227,0.663051366,0.582341283,0.67972777,0.663756602,0.578062651,0.63162881,0.666598748
0.644053095,0.616254019,0.637934106,0.632940609,0.67574407,0.657445725,0.67153996,0.570378138,0.626553815,0.630196328,0.567562495,0.661369239,0.583138415,0.678079198,0.664067564,0.577162953,0.632841596,0.664850914
